id;date;quantite;prenom_client;nom_client;etat
1;2021-01-27T02:10:38;36989;robust proactive;SQL Health;ACTIF
2;2021-01-27T03:34:56;84996;explicit cutting-edge Cotton;Buckinghamshire;INACTIF
3;2021-01-26T20:50:06;75354;Automotive quantifying;Industrial Analyst;ACTIF
4;2021-01-26T20:32:56;89784;Metal asymmetric Home Loan Account;Garden Drive Investment Account;ACTIF
5;2021-01-27T02:36:24;51413;Checking Account Avon;hack hard drive;ACTIF
6;2021-01-26T21:23:42;40489;Distributed disintermediate Ridge;sensor Tasty;INACTIF
7;2021-01-27T13:45:15;80138;circuit iterate;payment Soft Swedish Krona;ACTIF
8;2021-01-27T15:14:03;86421;Accountability;Ford;ACTIF
9;2021-01-27T10:45:02;19552;Open-source;context-sensitive PNG program;ACTIF
10;2021-01-26T22:07:44;92363;sexy feed invoice;Dominican Peso green Lead;ACTIF
