id;nom;prenom;etablissement
1;Keyboard;Dominican Republic withdrawal overriding;Sausages local
2;Human transmitter;Generic Cotton Shirt;Balanced overriding
3;Computer CSS;Buckinghamshire;Kids auxiliary
4;Directives Legacy Delaware;parsing;Rubber Books Keyboard
5;Forward silver;withdrawal;indexing Rustic Metal Fish 24/7
6;Gorgeous Paradigm;mint green Electronics Producer;approach
7;Wooden Tasty Steel Keyboard overriding;AI Plastic pink;Small RAM Chair
8;rich disintermediate;Metal cultivate;Western Sahara XML Toys
9;virtual granular;scalable deposit Louisiana;online
10;Reverse-engineered Security;content;Connecticut ADP vortals
